source_type,korgau_id,event_time,event_date,year,month,day,hour,day_of_week,is_weekend,organization,region,location,observer_name,observation_type_raw,observation_type,observation_category,potential_consequences,measures_taken,encouragement_actions,reported_to_whom,work_stopped_flag,discussed_with_person_flag,reported_to_responsible_flag,hazard_eliminated_flag,signal_text,is_risk_signal,is_good_practice,has_potential_consequence_text,has_measures_text,has_report_target_text
,1183,1965-03-29 13:28:00,1965-03-29,1965.0,3.0,29.0,13.0,0.0,0,"ТОО ""Изумрудный Папоротник""",,,Флоров Георгин Лилиевич,Небезопасное поведение,unsafe_behavior,Работы на высоте / Строительные леса,Работа на высоте не применили монтажный пояс,Обьеснительные работы были проведены,Замечание зделали,Ответственному мастеру,1,1,1,1,"Тип наблюдения: Небезопасное поведение | Категория: Работы на высоте / Строительные леса | Организация: ТОО ""Изумрудный Папоротник"" | Последствия или преимущества: Работа на высоте не применили монтажный пояс | Меры: Обьеснительные работы были проведены | Остановка работ: True | Поощрение хорошей практики: Замечание зделали | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Ответственному мастеру | Опасность устранена: True",1,0,1,1,1
,1870,2024-01-11 20:56:00,2024-01-11,2024.0,1.0,11.0,20.0,3.0,0,"ТОО ""Алая Гвоздика""",,,Георгинов Тюльпан Гортензиевич,Небезопасное условие,unsafe_condition,"Проскальзывание / Спотыкание / Падение, Поддержание чистоты и порядка",На котле утилизаторе в 3ем ярусе со стороны воздуходувок через проход проведен отвод трубопровода для временной подачи пара или воздуха этот отвод мешает пройти и приходится перемешивать. Кроме того на его конце приварена квадратная заглушка,Отрезали отвод до основной вертикальной трубы и приварили на место среза заглушку,Направлена С/З на поощрение,СБиОТ,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение, Поддержание чистоты и порядка | Организация: ТОО ""Алая Гвоздика"" | Последствия или преимущества: На котле утилизаторе в 3ем ярусе со стороны воздуходувок через проход проведен отвод трубопровода для временной подачи пара или воздуха этот отвод мешает пройти и приходится перемешивать. Кроме того на его конце приварена квадратная заглушка | Меры: Отрезали отвод до основной вертикальной трубы и приварили на место среза заглушку | Остановка работ: True | Поощрение хорошей практики: Направлена С/З на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2021,2024-01-16 23:39:00,2024-01-16,2024.0,1.0,16.0,23.0,1.0,0,"ТОО ""Розовый Флокс""",,,Азалиев Тюльпан Тюльпанович,Предложение (инициатива),other,"Целостность объекта / Оборудования, Рабочее место / Эргономика",Отсутствует рабочая площадка,Подана заявка на проектирование,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Предложение (инициатива) | Категория: Целостность объекта / Оборудования, Рабочее место / Эргономика | Организация: ТОО ""Розовый Флокс"" | Последствия или преимущества: Отсутствует рабочая площадка | Меры: Подана заявка на проектирование | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",0,0,1,1,1
,2067,2024-01-17 23:12:00,2024-01-17,2024.0,1.0,17.0,23.0,2.0,0,"ТОО ""Янтарная Хризантема""",,,Хризантемов Лотос Гортензиевич,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Во время работы споткнулся об паровой шланг,Освободили путь для дальнейшего передвижения,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Янтарная Хризантема"" | Последствия или преимущества: Во время работы споткнулся об паровой шланг | Меры: Освободили путь для дальнейшего передвижения | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2068,2024-01-17 23:16:00,2024-01-17,2024.0,1.0,17.0,23.0,2.0,0,"ТОО ""Тихая Камелия""",,,Флоров Астрон Сакурович,Небезопасное условие,unsafe_condition,Падающие предметы,На лестничном марше сломан кафель,Устранили,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Тихая Камелия"" | Последствия или преимущества: На лестничном марше сломан кафель | Меры: Устранили | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2070,2024-01-17 23:19:00,2024-01-17,2024.0,1.0,17.0,23.0,2.0,0,"ТОО ""Лесной Ландыш""",,,Ирисов Флорен Ирисович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Не закрыта крышка колодца про стока после откачки,Закрыли колодец,Направили СЗ на поощрение,СБиОТ,0,0,0,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Лесной Ландыш"" | Последствия или преимущества: Не закрыта крышка колодца про стока после откачки | Меры: Закрыли колодец | Остановка работ: False | Поощрение хорошей практики: Направили СЗ на поощрение | Обсудили с наблюдаемым: False | Сообщили ответственному: False | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2063,2024-01-26 23:07:00,2024-01-26,2024.0,1.0,26.0,23.0,4.0,0,"ТОО ""Сакура Плюс""",,,Вербенов Астрон Вербенович,Небезопасное условие,unsafe_condition,Падающие предметы,При наливных операциях на эстакаде обнаружено отсутствие освещения,Вызвали электрика он устранил,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Сакура Плюс"" | Последствия или преимущества: При наливных операциях на эстакаде обнаружено отсутствие освещения | Меры: Вызвали электрика он устранил | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,1890,2024-02-01 23:17:00,2024-02-01,2024.0,2.0,1.0,23.0,3.0,0,"ТОО ""Көктем Гүлі""",,,Камелиев Георгин Георгинович,Небезопасное условие,unsafe_condition,Падающие предметы,Оставлен настил от строительных лесов на линиях трубопровода на отметке 4 м. Во время обхода из-за сильного ветра настил стал качаться.,Вовремя отреагировав я убрал настил,Направил С/З на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Көктем Гүлі"" | Последствия или преимущества: Оставлен настил от строительных лесов на линиях трубопровода на отметке 4 м. Во время обхода из-за сильного ветра настил стал качаться. | Меры: Вовремя отреагировав я убрал настил | Остановка работ: False | Поощрение хорошей практики: Направил С/З на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,1967,2024-02-05 19:00:00,2024-02-05,2024.0,2.0,5.0,19.0,0.0,0,"ТОО ""Японская Сакура""",,,Георгинов Нарцисс Азалиевич,Небезопасное условие,unsafe_condition,"Проскальзывание / Спотыкание / Падение, Падающие предметы",На колоне С-201 образование наледи из-за пара на 2 и 3 ярус .,Настроить шланги и вывести в лоток. Сбить наледь.,СЗ на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение, Падающие предметы | Организация: ТОО ""Японская Сакура"" | Последствия или преимущества: На колоне С-201 образование наледи из-за пара на 2 и 3 ярус . | Меры: Настроить шланги и вывести в лоток. Сбить наледь. | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
,2103,2024-02-07 14:25:00,2024-02-07,2024.0,2.0,7.0,14.0,2.0,0,"ТОО ""Грация Гортензии""",,,Орхидеев Нарцисс Хризантемович,Небезопасное условие,unsafe_condition,Рабочее место / Эргономика,При входной двери АТС сломана дверная ручка есть вероятность порезов,замена дверной ручки,СЗ на поощрение,СБ и ОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика | Организация: ТОО ""Грация Гортензии"" | Последствия или преимущества: При входной двери АТС сломана дверная ручка есть вероятность порезов | Меры: замена дверной ручки | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБ и ОТ | Опасность устранена: True",1,0,1,1,1
,2101,2024-02-07 20:45:00,2024-02-07,2024.0,2.0,7.0,20.0,2.0,0,"ТОО ""Небесная Камелия""",,,Пионов Георгин Лотосович,Небезопасное условие,unsafe_condition,Рабочее место / Эргономика,Не работающие лампы освещения,Замена ламп,СЗ на поощрение,СБ иОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика | Организация: ТОО ""Небесная Камелия"" | Последствия или преимущества: Не работающие лампы освещения | Меры: Замена ламп | Остановка работ: False | Поощрение хорошей практики: СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБ иОТ | Опасность устранена: True",1,0,1,1,1
,2039,2024-02-09 18:05:00,2024-02-09,2024.0,2.0,9.0,18.0,4.0,0,"ТОО ""Грация Гортензии""",,,Розанов Тюльпан Лотосович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Была демонтирована просечка на обслуживающей площадки для монтажных работ. После окончании монтажных работ просечку не установили на место.ПГПН УКК.,Сообщил начальнику установки о восстановлении площадки.,Подготовлена служебная записка.,В службу БиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Грация Гортензии"" | Последствия или преимущества: Была демонтирована просечка на обслуживающей площадки для монтажных работ. После окончании монтажных работ просечку не установили на место.ПГПН УКК. | Меры: Сообщил начальнику установки о восстановлении площадки. | Остановка работ: False | Поощрение хорошей практики: Подготовлена служебная записка. | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: В службу БиОТ | Опасность устранена: True",1,0,1,1,1
,1954,2024-02-11 16:05:00,2024-02-11,2024.0,2.0,11.0,16.0,6.0,1,"ТОО ""Көктем Гүлі""",,,Азалиев Лаврентий Гортензиевич,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,Над трубной линией в маш. зале сдвинута стлань со своего места,Стлань установлен на место,Подготовлена СЗ на поощрение,В службу БиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Көктем Гүлі"" | Последствия или преимущества: Над трубной линией в маш. зале сдвинута стлань со своего места | Меры: Стлань установлен на место | Остановка работ: False | Поощрение хорошей практики: Подготовлена СЗ на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: В службу БиОТ | Опасность устранена: True",1,0,1,1,1
,1942,2024-02-13 18:55:00,2024-02-13,2024.0,2.0,13.0,18.0,1.0,0,"ТОО ""Лесной Ландыш""",,,Мелиссов Гортензий Лилиевич,Небезопасное условие,unsafe_condition,Целостность объекта / Оборудования,"На установке при переходе через тех.трубопроводов установлен переход с продолжением, но не связан поручнями образовывая опасный разрыв",Связали два перехода поручнями,Подготовлены СЗ для поощрения,Начальникам производства и службу техники безопасности,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Целостность объекта / Оборудования | Организация: ТОО ""Лесной Ландыш"" | Последствия или преимущества: На установке при переходе через тех.трубопроводов установлен переход с продолжением, но не связан поручнями образовывая опасный разрыв | Меры: Связали два перехода поручнями | Остановка работ: False | Поощрение хорошей практики: Подготовлены СЗ для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальникам производства и службу техники безопасности | Опасность устранена: True",1,0,1,1,1
,1947,2024-02-13 22:58:00,2024-02-13,2024.0,2.0,13.0,22.0,1.0,0,"ТОО ""Рубиновый Мак""",,,Георгинов Ирис Виолетович,Небезопасное условие,unsafe_condition,Падающие предметы,"На крыши здания склада из-за большого скопления снега, образовался снежный ""козырек""",Уборка снега,Подготовлены СЗ для поощрения,начальникам производства и службу техники безопасности,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Падающие предметы | Организация: ТОО ""Рубиновый Мак"" | Последствия или преимущества: На крыши здания склада из-за большого скопления снега, образовался снежный ""козырек"" | Меры: Уборка снега | Остановка работ: True | Поощрение хорошей практики: Подготовлены СЗ для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальникам производства и службу техники безопасности | Опасность устранена: True",1,0,1,1,1
,1952,2024-02-13 23:00:00,2024-02-13,2024.0,2.0,13.0,23.0,1.0,0,"ТОО ""Белоснежная Азалия""",,,Лавандов Розан Хризантемович,Небезопасное условие,unsafe_condition,"Работы в замкнутом пространстве, Знаки безопасности / Предупредительные таблички",При работе в замкнутном пространстве не было достаточного освещения и знаков безопасности,Повесили знак,Подготовлены СЗ для поощрения,начальникам производства и службу техники безопасности,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Работы в замкнутом пространстве, Знаки безопасности / Предупредительные таблички | Организация: ТОО ""Белоснежная Азалия"" | Последствия или преимущества: При работе в замкнутном пространстве не было достаточного освещения и знаков безопасности | Меры: Повесили знак | Остановка работ: True | Поощрение хорошей практики: Подготовлены СЗ для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: начальникам производства и службу техники безопасности | Опасность устранена: True",1,0,1,1,1
,2034,2024-02-14 23:46:00,2024-02-14,2024.0,2.0,14.0,23.0,2.0,0,"ТОО ""Белый Лотос KZ""",,,Фиалков Жасмин Фиалкович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,При открытии двери склада 8 сломалась верхняя петля на металлической двери.,Приварить петлю в двери,Подготовлены СЗ для поощрения,Начальникам производства и службу техники безопасности,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Белый Лотос KZ"" | Последствия или преимущества: При открытии двери склада 8 сломалась верхняя петля на металлической двери. | Меры: Приварить петлю в двери | Остановка работ: True | Поощрение хорошей практики: Подготовлены СЗ для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальникам производства и службу техники безопасности | Опасность устранена: True",1,0,1,1,1
,2033,2024-02-14 23:46:00,2024-02-14,2024.0,2.0,14.0,23.0,2.0,0,"ТОО ""Садовый Гиацинт""",,,Жасминов Астрон Астрович,Небезопасное условие,unsafe_condition,Проскальзывание / Спотыкание / Падение,При открытии двери склада 8 сломалась верхняя петля на металлической двери.,Приварить петлю в двери,Подготовлены СЗ для поощрения,Начальникам производства и службу техники безопасности,1,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Проскальзывание / Спотыкание / Падение | Организация: ТОО ""Садовый Гиацинт"" | Последствия или преимущества: При открытии двери склада 8 сломалась верхняя петля на металлической двери. | Меры: Приварить петлю в двери | Остановка работ: True | Поощрение хорошей практики: Подготовлены СЗ для поощрения | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: Начальникам производства и службу техники безопасности | Опасность устранена: True",1,0,1,1,1
,1884,2024-02-15 22:16:00,2024-02-15,2024.0,2.0,15.0,22.0,3.0,0,"ТОО ""Северный Нарцисс""",,,Лотосов Сакур Камелиевич,Небезопасное условие,unsafe_condition,Рабочее место / Эргономика,"На территории установки БОС в районе помещения временного пребывания имеется линия трубопровода, расположенная на уровне головы",Сигнальный окрас на опасном участке для привлечения внимания,Направлена С/З на поощрение,СБиОТ,0,1,1,1,"Тип наблюдения: Небезопасное условие | Категория: Рабочее место / Эргономика | Организация: ТОО ""Северный Нарцисс"" | Последствия или преимущества: На территории установки БОС в районе помещения временного пребывания имеется линия трубопровода, расположенная на уровне головы | Меры: Сигнальный окрас на опасном участке для привлечения внимания | Остановка работ: False | Поощрение хорошей практики: Направлена С/З на поощрение | Обсудили с наблюдаемым: True | Сообщили ответственному: True | Кому сообщили: СБиОТ | Опасность устранена: True",1,0,1,1,1
