Table 1
Тип наблюдения;ФИО;Категория наблюдения;Дата;Время;Организация;Какие возможные последствия наблюдения или преимущества хорошей практики / вашего предложения?;Какие меры вы предприняли?;Производилась ли остановка работ?;Какие действия вы предприняли для поощрения хорошей практики?;Обсудили ли вы небезопасное действие / небезопасное поведение с наблюдаемым?;Сообщили ли ответственному лицу?;Кому вы сообщили о наблюдении? (Обязательно к заполнению для небезопасного действия/ небезопасного поведения/опасного фактора / опасного случая);Было ли небезопасное условие / поведение исправлено и опасность устранена?;Фото/Документы с места выявления несоответствия или предложения;Опишите ваше наблюдение/предложение;
Опасный случай;Фиалков Тюльпан Нарциссович;Взрыво- и пожароопасность;4/4/25 5:00;4/14/25 20:45;"ТОО ""Дикая Ромашка""";При обходе территории было выявлено факт нарушения использование открытого огня (зажигалка) в помещения для курения.;Было изъято зажигательное устройство, взято объяснительная записка, проведено разъяснительная беседа. ;TRUE;Было проведено объяснительно-разъяснительная беседа с нарушителями о выявленных нарушениях.;TRUE;TRUE;Ответственному лицу подрядных организации ;TRUE;;;
Опасный случай;Вербенов Сакур Гортензиевич;Целостность объекта / Оборудования;3/9/25 5:00;4/15/25 14:00;"ТОО ""Серебряный Лотос""";Пропуск по пару;Замена запорной арматуры;FALSE;нет;TRUE;TRUE;Начальнику ПСГ;TRUE;;;
Небезопасное действие;Камелиев Азалий Розанович;СИЗ / Средства по обеспечению безопасности;4/14/25 5:00;4/14/25 16:15;"ТОО ""Ясный Василёк""";Работа по изоляции трубопровода без защитных очков;Приостановил работы до устранения замечании. ;TRUE;Провел разъяснительную беседу с работником согласно инструкции ОТБ-012  ;TRUE;TRUE;Начальнику участка Курбанкулову К.;TRUE;;;
Предложение (инициатива);Лавандов Орхидей Георгинович;Поддержание чистоты и порядка;5/20/25 5:00;6/16/25 20:20;"ТОО ""Алая Гвоздика""";№2 Әкімшілік ғимаратының жанында демалу орынның айналасына шөп өскен;Учаске бастығына хабарланды;FALSE;Демалу орнының айналасы шөптен тазартылды;TRUE;TRUE;Учаске бастығына хабарланды;TRUE;;;
Небезопасное условие ;Георгинов Вербен Сакурович;Поддержание чистоты и порядка, Транспортировка;5/21/25 5:00;6/17/25 20:55;"ТОО ""Сакура Плюс""";Тексеру кезінде бригада басында жұмыс жасап тұрған көтергіш агрегат лас. ;Сол арада жұмыс басында машиниске көтергіш агрегатты майдан жуып тазалауды тапсырдым.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Флоров Азалий Гортензиевич;Поддержание чистоты и порядка;1/6/25 5:00;6/17/25 14:59;"ТОО ""Южная Магнолия""";Тексеру кезінде көтергіш агрегаттардың тазалығы өте лас. Көтергіш агрегаттардың тазалығы сақталып талапқа сай жұмыс жасау керек.;Бригада басында бригада шеберіне және көтергіш машинистерге түсіндірме жұмыстары жүргіздім.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Астров Мелисс Мелиссович;Машины и оборудование;2/7/25 5:00;6/18/25 15:04;"ТОО ""Таёжный Жасмин""";Жұмыс жасап тұрған бригада, жұмыс жасау барысында мәдениет үйшігі мен жұмыс алаңшасы арасындағы жұру жолдарын талапқа сай реттеу.;Келеңсіз жағдай болдырмау мақсатында, алдын ала қауіпсіздік шарасын орындауға ұсыныс берілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Маргаритов Лаврентий Лилиевич;Поддержание чистоты и порядка, Охрана окружающей среды;2/5/25 5:00;6/18/25 16:26;"ТОО ""Полевая Незабудка""";Тексеру кезінде көтергіш агрегаттың тазалығы өте лас. Көтергіш агрегаттың тазалығы сақталып сай жұмыс жасау керек.;Бригада басында бригада шеберіне ескертіп.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Лилиев Хризантем Розанович;Выполнение требований инструкций;4/29/25 5:00;6/18/25 15:29;"ТОО ""Янтарная Хризантема""";Қауіпсіздікті сақтау.;Нұсқау талаптарын сақтау талап етілді;TRUE;Қызметкерлерге түсіндіру жұмыстары жүргізілді.Қосымша нұсқама жүргізілді;TRUE;TRUE;Жауптыларға хабарланды.;TRUE;;;
Предложение (инициатива);Камелиев Гортензий Астрович;Рабочее место / Эргономика;8/11/25 5:00;8/11/25 11:50;"ТОО ""Тихая Камелия""";Замечаний нет.Условия по Тб соблюдается.;Доложил руководству.;FALSE;Поблагодарил работников.;TRUE;TRUE;Руководству.;TRUE;;;
Небезопасное поведение;Хризантемов Орхидей Лилиевич;Машины и оборудование, Поддержание чистоты и порядка;4/8/25 5:00;6/17/25 15:32;"ТОО ""Ночная Лаванда""";Жұмыс жасау барысында бригада жұмыс алаңшасы бөгде заттар болмау керек, талапқа сай болу керектігін қадағалау. Жқмыс алаңшасындағы қажетсіз қондырғы мен құралдарды алып тастау;Келеңсіз жағдай болдырмау мақсатында алдын ала қауіпсізк шарасын орындауға ұсыныс берілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Хорошая практика;Фиалков Гортензий Тюльпанович;Трубопроводы / Подземные коммуникации;11/4/25 5:00;11/4/25 23:26;"ТОО ""Лесной Ландыш""";Провёл наблюдение,  предложении нет. ;Нет;FALSE;Предложение нет. ;FALSE;FALSE;Опасного случай не было. ;FALSE;;;
Небезопасное поведение;Флоров Гортензий Азалиевич;СИЗ / Средства по обеспечению безопасности;5/22/25 5:00;6/17/25 19:58;"ТОО ""Звёздный Амариллис""";Тексеру барысында АПРС-40 жүргізуші машинист қолғапсыз жүргенін көрдім;Түсіндірме жұмыстары жүргіздім;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Жасминов Ирис Жасминович;Машины и оборудование, Поддержание чистоты и порядка;1/22/25 5:00;6/17/25 14:02;"ТОО ""Каспийский Тюльпан""";Тексеру кезінде жұмысшы басты қорғау каскасын кимеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.;Сол арада жұмыс басында машинистке бөгде заттарды алып тастауға бұйрық бердім.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Опасный фактор;Азалиев Маргарит Тюльпанович;Взрыво- и пожароопасность;10/28/25 5:00;11/4/25 20:22;"ТОО ""Степная Роза""";Жаңа 2000 м3 қазан монтаж жұмыстары кезінде дәнекерлеу жұмысы кезінде пропан мен кислород баллоны ара қашықтығы талапқа сай қойылмаған.;жұмыс тоқталып, ара қашықтық талапқа сай етіп орналастырылды;TRUE;Нет данных;TRUE;TRUE;Участок басшысына ескертілді;TRUE;;;
Небезопасное условие ;Вербенов Лилий Вербенович;Машины и оборудование;4/22/25 5:00;6/17/25 16:37;"ТОО ""Голубая Гортензия""";жұмыс жасау  барысында, бригада жұмыс алаңшасында төселген төсеніштер талапқа сай болуын қадағалау.;Түсіндірме жұмыстары жүргізілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Лавандов Мелисс Пионович;Поддержание чистоты и порядка;5/5/25 5:00;6/17/25 16:00;"ТОО ""Рубиновый Мак""";Тексеріс уақытында АПРС-40 кілт қашақ шашылып жатұаны анықталды ;Түсіндірме жұмыстары жүргізілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Лавандов Сакур Фиалкович;Машины и оборудование;1/20/25 5:00;6/17/25 21:10;"ТОО ""Северный Нарцисс""";Тексеріс кезіндеь көтергіш агрегаттың алдында кілттері шашылып жатыр.;Бригада басында машинист ке түсіндіру жұмысы жүргізілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Нарциссов Лилий Орхидеевич;СИЗ / Средства по обеспечению безопасности;4/9/25 5:00;6/17/25 21:40;"ТОО ""Имперская Орхидея""";Тексеріс уақытынды жүргізуші қолғапсыз жүргені байқалды;Түсіндірме жұмыстары жұргізілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Сакуров Лотос Жасминович;Поддержание чистоты и порядка;5/23/25 5:00;6/17/25 20:03;"ТОО ""Весенний Крокус""";ГСМ аймақта жабай шөптер өсіп, өрт  қауіпі тудырып тұр;ескертілді;FALSE;Нет данных;TRUE;TRUE;Инженер ГСМ;TRUE;;;
Небезопасное поведение;Сакуров Гортензий Гортензиевич;Вождение;2/3/25 5:00;6/18/25 15:28;"ТОО ""Изумрудный Папоротник""";Камаз АТЗ өндірістік аймақта тексеру барысында қауіпсіздік белдігін тақпаған.;Тоқтатынп түсіндіру жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;ЖҚ аға инженеріне;TRUE;;;
Опасный случай;Тюльпанов Сакур Магнолиевич;Электрооборудование;5/23/25 5:00;6/16/25 20:31;"ТОО ""Белоснежная Азалия""";№1 АҚБ аумағында жерге қосу (заземление) үзілген;Учаске бастығы А.Қорғанбаевқа хабарланды;TRUE;жерге қосу (заземление) қалпына келтірілді;TRUE;TRUE;Учаске бастығы А.Қорғанбаевқа хабарланды;TRUE;;;
Небезопасное поведение;Нарциссов Лаврентий Азалиевич;Рабочее место / Эргономика, Машины и оборудование;4/24/25 5:00;6/17/25 19:42;"ТОО ""Алтын Бәйшешек""";Нет данных;Тұсіндірме жүмыстары жұргізілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное поведение;Маргаритов Магнолий Пионович;Поддержание чистоты и порядка;5/8/25 5:00;6/17/25 20:06;"ТОО ""Көктем Гүлі""";№5 автотізбек кезекші АПРС-40 тұрған жерге май төгілген.;Ескертілді;FALSE;Нет данных;TRUE;TRUE;автотізбек бастығына;TRUE;;;
Небезопасное поведение;Лотосов Азалий Жасминович;Вождение, Монтажные и грузоподъемные работы;1/5/25 5:00;6/17/25 21:13;"ТОО ""Жемчужная Фрезия""";Тексеріс кезінде көтергіш агрегаттың алдыңғы тіреуіш домкраты тірелмеген. ;Бригада басында шеберіне және көтергіш машинист ерге жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Жасминов Вербен Нарциссович;Наряд-допуск / Оценка риска;2/18/25 5:00;6/18/25 15:11;"ТОО ""Лазурный Дельфиниум""";Жұмыс жасау барысында бригада мүшелерімен нұсқама журналы талапқа сай болу керектігін қадағлау.;Нұсқамалармен тәжірбиелерді қолдануға кеңес берілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное действие;Маргаритов Виолан Маргаритович;Выполнение требований инструкций;4/29/25 5:00;6/18/25 15:29;"ТОО ""Розовый Флокс""";Қауіпсіздікті сақтау.;Нұсқау талаптарын сақтау талап етілді;TRUE;Қызметкерлерге түсіндіру жұмыстары жүргізілді.Қосымша нұсқама жүргізілді;TRUE;TRUE;Жауптыларға хабарланды.;TRUE;;;
Опасный фактор;Хризантемов Астрон Георгинович;Электрооборудование;6/18/25 5:00;6/18/25 19:20;"ТОО ""Сафлоровый Рассвет""";Барсенгир  на матчте не горит освещение ;Сообшили зам.начальник станцию;FALSE;Нет данных;TRUE;TRUE;Сообшили зам начальнику участка  Данияров А;TRUE;;;
Небезопасное поведение;Маргаритов Сакур Георгинович;Взрыво- и пожароопасность;6/5/25 5:00;6/18/25 15:10;"ТОО ""Медовая Астра""";оператор цеха №1 использовал сотовое устройство на рабочем месте ;приостановил работу до устранения нарушения;TRUE;провел разъяснительную беседу ;TRUE;TRUE;начальнику цеха №1;TRUE;;;
Небезопасное условие ;Лавандов Лаврентий Орхидеевич;;4/10/25 5:00;4/10/25 19:59;"ТОО ""Тайный Бутон""";fr;fr;TRUE;fr;TRUE;TRUE;fr;TRUE;;;
Небезопасное поведение;Тюльпанов Лилий Розанович;Машины и оборудование;5/23/25 5:00;6/17/25 20:08;"ТОО ""Цветущий Миндаль""";Тексеру кезінде автокөлік КАМАз АТЗ артқы жарық шамы жанбайды.;сол арада жқмыс басында жүргізушіге ақауын жөндеугет тапсырма бердім.;FALSE;Нет данных;TRUE;FALSE;ЖҚ аға инженер;TRUE;;;
Небезопасное действие;Жасминов Астрон Азалиевич;Машины и оборудование;1/15/25 5:00;6/17/25 16:16;"ТОО ""Полевой Клевер""";АПРС-40 көтергіш агрегаты мұнарасы лас.;Түчсіндірме жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;БТЖ;TRUE;;;
Небезопасное действие;Гортензиев Вербен Лавандович;Поддержание чистоты и порядка;2/21/25 5:00;6/18/25 16:14;"ТОО ""Огненная Георгина""";Жұмыс барысында бригада жұмыс алаңында штанга дұрыстап жиналмаған.;Нұсқаулықпен ережеге сайкес жұмыс жасауға ұсыныс берілді;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Небезопасное условие ;Орхидеев Нарцисс Флорович;Охрана окружающей среды;2/3/25 5:00;6/18/25 16:30;"ТОО ""Сияющая Примула""";оперативный техникалар тұратын орны (навес) май қалдықтары төгілген.;автотізбек бастығына ескертілді;FALSE;Нет данных;TRUE;TRUE;автотізбек бастығына ескертілді;TRUE;;;
Небезопасное поведение;Ирисов Розан Розанович;Работы на высоте / Строительные леса;6/18/25 5:00;6/18/25 14:49;"ТОО ""Гармония Лилий""";Қауіпсіздікті сақтау.;Жөндеу, дәнекерлеу жұмыстар жүргізілді.;TRUE;Толық жұмыстары жүргізілді, кемшілік дереу жойылды.;TRUE;TRUE;Қондырғы бастығына айтылды.;TRUE;;;
Небезопасное действие;Лилиев Виолан Флорович;СИЗ / Средства по обеспечению безопасности;5/26/25 5:00;6/17/25 21:11;"ТОО ""Шёлковый Пион""";Тексеру кезінде арнайы киім кимеген;Арнайы киім киуге тапсырма;FALSE;Нет данных;TRUE;TRUE;Бас механик;TRUE;;;
Небезопасное поведение;Лавандов Жасмин Камелиевич;Машины и оборудование;1/25/25 5:00;6/17/25 21:17;"ТОО ""Японская Сакура""";АПРС-40 көтергіш агрегаты артқы бұрылыс шамдары жанбайды.;Түсіндіру жұмыстары жүргізілді;FALSE;Нет данных;TRUE;TRUE;ЖҚ аға инженеріне;TRUE;;;
Небезопасное действие;Лавандов Пион Астрович;Переносное оборудование / Ручные инструменты;6/5/25 5:00;6/18/25 15:16;"ТОО ""Лунная Орхидея""";Жұмыс барысында бригада жұмыс алаңында құбырды дұрыстап жинауға ұсыныс;Нұсқаулықпен ереже сәйкес жұмыс жасауға ұсыныс берілді.;FALSE;Нет данных;TRUE;TRUE;Бригада шеберіне;TRUE;;;
Хорошая практика;Фиалков Ирис Виолетович;Целостность объекта / Оборудования;5/26/25 5:00;6/16/25 19:39;"ТОО ""Садовый Гиацинт""";ТҚҚ аумағында МАҚ операторы отыратын жердің шатырының су ағары сынғын;БМҚ аға шеберіне ескертілді;FALSE;Тиісті жұмыстар жасалынып суағар қалпына келтірілді;TRUE;TRUE;БМҚ аға шеберіне ескертілді;TRUE;;;
Небезопасное поведение;Магнолиев Тюльпан Азалиевич;СИЗ / Средства по обеспечению безопасности, Работы на высоте / Строительные леса;5/5/25 5:00;6/17/25 20:13;"ТОО ""Белый Лотос KZ""";Биіктікте жұмыс жасаған кезде сақтандыру белдігін ілмеген;сақтандыру белдігін іліп жұмыс жасау керектігін тапсырма бердім;FALSE;Нет данных;TRUE;TRUE;Бас механик;TRUE;;;
Небезопасное условие ;Лавандов Хризантем Астрович;Поддержание чистоты и порядка;10/13/25 5:00;10/13/25 14:10;"ТОО ""Ароматный Мирт""";Пожарный выход ПБ-5 заграмажден мусором, что создаёт препятствие выхода людей при НС.;Сообщили ОД, руководству СПО;FALSE;Предупредили компетентные структуры ;TRUE;TRUE;Сообщили ОД, руководству СПО;FALSE;;;
Небезопасное условие ;Азалиев Вербен Вербенович;Перемещение грузов вручную, Монтажные и грузоподъемные работы;6/17/25 5:00;6/27/25 14:00;"ТОО ""Цветочный Бриз""";Собрать и вывезти б/у шпалы с пути №1;сообщено руководству цеха;TRUE;Нет данных;TRUE;TRUE;мастеру участка Кузнецову В.О.;TRUE;;;
Опасный случай;Камелиев Флорен Лилиевич;Работы на высоте / Строительные леса;6/25/25 5:00;6/27/25 15:01;"ТОО ""Небесная Камелия""";Арнайы техника пайдаланбады;Нет данных;FALSE;Нет данных;FALSE;FALSE;Нет данных;FALSE;;;
Небезопасное условие ;Магнолиев Фиал Орхидеевич;Электрооборудование;3/19/25 5:00;6/5/25 15:00;"ТОО ""Степной Шалфей""";Ауа-райының күрт, өзгеріп қар жауып мұз қатуына байланысты ТҚ мұнай қазанына көтеріліп түскен кезде сақ болып қоршаудан ұстауды айттым;Қоршаудан ұстап түсіп, мінуді айттым;TRUE;Жұмысшылармен түсіндірме жұмыстары жүргізіліп оң пікірде болдық.;TRUE;TRUE;Бригада құрамының инженеріне ;TRUE;;;
Хорошая практика;Ирисов Георгин Флорович;Поддержание чистоты и порядка, Охрана окружающей среды;1/13/25 5:00;6/26/25 14:00;"ТОО ""Грация Гортензии""";Күнделікті тазалықты сақтау ;Ескертіп айтылды;FALSE;Нет данных;TRUE;TRUE;Бөлімше шеберіне;TRUE;;;
Предложение (инициатива);Азалиев Лилий Пионович;Наряд-допуск / Оценка риска;4/15/25 5:00;4/15/25 20:46;"ТОО ""Пудровая Роза""";Не было;Не было;FALSE;Нет данных;FALSE;FALSE;Никому ;FALSE;;;
Опасный фактор;Маргаритов Тюльпан Пионович;Целостность объекта / Оборудования;2/26/25 5:00;4/15/25 5:25;"ТОО ""Золотой Подсолнух""";Эст. 79/3 стояк 92 отсутствовал страховочный крючек;Отразил в журнале;FALSE;Нет;TRUE;TRUE;Бригадиру бр. №2 ;TRUE;;;
Небезопасное условие ;Вербенов Георгин Камелиевич;Транспортировка;3/25/25 5:00;6/5/25 20:00;"ТОО ""Кристальный Ирис""";ТҚ-93 тың ӨҚ-93е дейін жол жоқ;Шеберге айттым;FALSE;Шеберге айттым;TRUE;TRUE;Шеберге;FALSE;;;
Небезопасное условие ;Ирисов Лотос Лилиевич;Опасные вещества/сероводород, Санитарно-бытовые помещения;5/24/25 5:00;6/5/25 21:00;"ТОО ""Лепесток Удачи""";БӨАжА аспаптарын арнайы бөлмеде, қоймада ұстау;Өндірістік нысандардағы қолданылатын БӨАжА аспаптарын жөндеу және тексеру, сақтау кезінде арнайы қоймаларда сақтау ескертілді;TRUE;БӨАжА аспаптарын арнайы бөлмелерде сақтау жиналу ескертілді;TRUE;TRUE;1-дәрежелі инженерге;TRUE;;;
Небезопасное условие ;Маргаритов Вербен Фиалкович;Вождение;4/16/25 5:00;4/16/25 15:30;"ТОО ""Рассветная Лаванда""";Нет данных;Нет данных;FALSE;Нет данных;FALSE;FALSE;Нет данных;FALSE;;;
Хорошая практика;Розанов Сакур Розанович;Вождение;4/14/25 5:00;4/16/25 14:05;"ТОО ""Цветущий Олеандр""";Замечаний нет;проведена беседа с водителем;FALSE;доложил непосредственному руководителю;TRUE;TRUE;непосредственному руководителю;FALSE;;;
Небезопасное действие;Флоров Сакур Гортензиевич;Работы на высоте / Строительные леса, Монтажные и грузоподъемные работы;4/15/25 5:00;4/16/25 15:30;"ТОО ""Весенний Букет""";Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.;Остановил работу и разъяснил безопасные методы работы. Сообщил Руководителю АХО.;TRUE;Нет данных;TRUE;TRUE;Сообщил Руководителю АХО.;TRUE;;;
Небезопасное действие;Лилиев Лотос Георгинович;Работы на высоте / Строительные леса, Монтажные и грузоподъемные работы;4/15/25 5:00;4/16/25 15:30;"ТОО ""Флора Капитал""";Работник МСК работал над монтажом крыльца при въезде в паркинг КЦ. При этом, работник МСК был поднят на высоту ковшем погрузчика.;Остановил работу;TRUE;Нет данных;TRUE;TRUE;Руководителю АХО;TRUE;20250415_101739.jpg,6d707d6a721f4b2ca3aa5e0d0034308d;;
Небезопасное поведение;Орхидеев Тюльпан Гортензиевич;Вождение, Выполнение требований инструкций;4/15/25 5:00;4/16/25 15:30;"ТОО ""Бархатный Тюльпан""";Водитель микроавтобуса перед движением не убедился, что все работники пристегнулись. При этом, у самого водителя ремень безопасности был пристегнут и он перекинул через себя ремень безопасности, тем самым нарушил правильное применение ремней безопасности при вождении транспорта.;Остановил водителя и попросил пристегнуться правильно, а также всех пассажиров.;TRUE;Нет данных;TRUE;FALSE;Только водителю.;TRUE;;;
Хорошая практика;Жасминов Астрон Розанович;Выполнение требований инструкций;3/8/25 5:00;4/16/25 14:00;"ТОО ""Алый Тюльпан""";Содержание весов в исправном состоянии;Произвел уборку на весах;FALSE;нет;TRUE;TRUE;Начальнику УОН;TRUE;;;
Небезопасное поведение;Лилиев Розан Лилиевич;Транспортировка;11/4/25 5:00;11/4/25 20:25;"ТОО ""Белая Роза""";Жұмыс бағытын қадағалау;Естертіу жүк көтеріу кезінде астында тұрмау;FALSE;Түсіндірме жұмысы жүргізілді;TRUE;TRUE;Зам нач;TRUE;;;
Опасный фактор;Камелиев Азалий Камелиевич;Проскальзывание / Спотыкание / Падение;4/16/25 5:00;4/16/25 19:44;"ТОО ""Золотая Лилия""";Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться  и получить травму.;Сообщил начальнику УХО;FALSE;Нет данных;TRUE;TRUE;Начальнику УХО Тайкину С.А.;TRUE;;;
Хорошая практика;Маргаритов Нарцисс Мелиссович;Поддержание чистоты и порядка, Охрана окружающей среды, Опасные природные явления / Погодные условия;11/5/25 5:00;11/5/25 16:46;"ТОО ""Лавандовый Рассвет""";Наблюдение условия труда нв рабочем месте.;Не предпринимал;FALSE;Не предпринимал;FALSE;TRUE;Руководству ;FALSE;;;
Опасный фактор;Камелиев Виолан Лавандович;Проскальзывание / Спотыкание / Падение;4/16/25 5:00;4/16/25 20:22;"ТОО ""Синяя Орхидея""";Рядом с маршрутом, по которому сотрудники следуют к базе управления, на обочине асфальтированной дороги обнаружена выступающая металлическая проволока. Она представляет потенциальную опасность — существует риск споткнуться и получить травму.;Сообщил начальнику УХО;FALSE;Нет данных;TRUE;TRUE;Начальнику УХО Тайкину С А;TRUE;Фото места2.jpg,e37fe14328474ee4b40159fab07ea5cc;;
Опасный фактор;Розанов Тюльпан Ирисович;Целостность объекта / Оборудования;3/17/25 5:00;4/17/25 2:10;"ТОО ""Пурпурный Ирис""";эст. 79/3 ст. 66 износ веревки;Нет данных;FALSE;сообщил бригадиру бр. №3;TRUE;TRUE;бригадиру  бр. №3;TRUE;;;
Небезопасное условие ;Розанов Гортензий Нарциссович;Проскальзывание / Спотыкание / Падение;3/15/25 5:00;4/17/25 3:00;"ТОО ""Нежная Фиалка""";наледь на дорожках. Проскальзывание, падения, ушиб.;Посыпал песком;FALSE;Дал указание ст. операторам следить за территорией ;TRUE;TRUE;Начальнику ПСГ;TRUE;;;
